,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,aide,help
6,6,6,6,demande,request
7,7,7,7,genre,kind
8,8,8,8,mois,month
9,9,9,9,frère,brother
10,10,10,10,laisser,let
11,11,11,11,car,because
12,12,12,12,aucun,no
13,13,13,13,laisse,leash
14,14,14,14,ville,city
15,15,15,15,chaque,each
16,16,16,16,parlé,speak
17,17,17,17,arrivé,come
18,18,18,18,devrait,should
19,19,19,19,bébé,baby
20,20,20,21,heures,hours
21,21,21,22,vont,will
22,22,22,23,pendant,while
23,23,23,24,place,square
24,24,24,25,parle,speak
25,25,25,26,compris,understood
26,26,26,27,savais,knew
27,27,27,28,voici,here is
28,28,28,29,pourrais,could
29,29,29,30,affaire,case
30,30,31,32,type,type
31,31,32,33,leurs,their
32,33,34,35,train,train
33,34,35,36,corps,body
34,35,36,37,endroit,place
35,36,37,38,yeux,eyes
36,37,38,39,façon,way
37,38,39,40,écoute,listen
38,39,41,42,trouve,find
39,41,43,44,perdu,lost
40,42,44,45,première,first
41,43,45,47,pouvoir,power
42,44,46,48,vieux,old
43,45,47,49,tiens,here
44,46,48,50,matin,morning
45,47,50,52,enfant,child
46,48,51,53,point,point
47,49,52,54,venu,came
48,50,53,55,suite,after
49,51,54,56,pardon,sorry
50,52,55,57,venez,come
51,53,56,58,devant,in front of
52,54,57,59,vers,towards
53,56,59,61,demandé,request
54,57,60,62,chambre,bedroom
55,58,61,63,mis,placed
56,59,62,64,belle,beautiful
57,60,64,66,aimerais,would like to
58,61,65,67,aujourd'hui,today
59,62,66,68,mari,husband
60,63,67,69,cause,cause
61,64,68,70,enfin,finally
62,65,69,71,espère,hope
63,66,70,72,eau,water
64,67,71,73,attendez,Wait
65,68,72,74,parti,left
66,69,73,75,nouvelle,new
67,70,74,76,boulot,job
68,71,75,77,arrêter,Stop
69,72,76,78,dirait,would say
70,73,77,79,terre,Earth
71,74,78,80,compte,account
72,75,79,81,donne,given
73,76,80,82,loin,far
74,77,81,83,fin,end
75,78,82,84,croire,believe
76,79,83,85,chérie,sweetheart
77,81,85,87,aura,will have
78,82,86,88,jouer,to play
